title,description,category
VPN not working,Cannot connect to company VPN after password reset,Network
Internet connection unstable,Frequent disconnections while working remotely,Network
WiFi not connecting,Laptop cannot connect to office WiFi,Network
Network drive inaccessible,Shared drive is not reachable,Network
Slow internet speed,Internet performance is significantly degraded,Network
DNS resolution failure,Unable to access websites by hostname,Network
VPN authentication failed,VPN login rejected with authentication error,Network
Network printer unreachable,Printer cannot be reached over network,Network
LAN cable issue,Desktop loses network connection intermittently,Network
Firewall blocking application,Required application traffic is blocked,Network
VPN disconnects frequently,VPN session drops multiple times daily,Network
Cannot map network drive,Drive mapping operation fails,Network
Wireless access point issue,Users cannot connect through access point,Network
Packet loss detected,Voice calls experience interruptions,Network
Proxy server unavailable,Users cannot browse external websites,Network
IP conflict detected,Two devices sharing same IP address,Network
Router rebooting constantly,Branch office gateway unstable,Network
BGP route flapping,Core network routing unstable,Network
VLAN configuration error,Port placed in wrong network segment,Network
Switch port dead,Wall jack no longer provides connectivity,Network
Guest WiFi captive portal broken,Users cannot accept terms to connect,Network
High latency on WAN,Ping times to cloud services over 300ms,Network
VPN split tunnel broken,Local traffic going through tunnel,Network
DHCP pool exhausted,No IPs available for new devices,Network
Cannot ping server,Internal host completely unreachable,Network
Subnet mask incorrect,Host cannot talk to gateway,Network
Fiber link down,Uplink between floors disconnected,Network
QoS misconfigured,Voice traffic not prioritized over downloads,Network
Load balancer routing failing,Traffic not distributed to web nodes,Network
DNS cache poisoned,Internal domains resolving to wrong IPs,Network
Site-to-Site VPN down,Branch office disconnected from HQ,Network
MAC address filtering block,New laptop blocked by switch port,Network
Network loop detected,Spanning tree blocking ports,Network
Traceroute drops,Traffic failing at specific ISP hop,Network
SSL VPN gateway unreachable,Web portal for remote access down,Network
SD-WAN edge offline,Appliance reports loss of connectivity,Network
Intrusion prevention dropping traffic,Legitimate API calls blocked,Network
Proxy authentication popup,Constant prompts for credentials,Network
IPv6 routing issue,Clients cannot reach external IPv6 hosts,Network
RADIUS server timeout,WiFi authentication failing,Network
Port forwarding broken,External requests not reaching internal server,Network
Network drive slow,Copying files takes hours,Network
Cisco AnyConnect profile missing,Client lacks server list,Network
Meraki AP offline,Cloud dashboard shows dead access point,Network
Jitter during VoIP call,Audio quality extremely poor,Network
Bandwidth saturated,Network monitoring shows 100% utilization,Network
ARP table poisoning warning,Security alert regarding MAC spoofing,Network
Failed to acquire IP address,Client stuck on APIPA 169.254.x.x,Network
Default gateway unreachable,Cannot route out of local subnet,Network
WPA3 compatibility issue,Old scanner cannot join secure WiFi,Network
Email not sending,Emails remain stuck in outbox,Email
Unable to receive emails,Inbox is not receiving new messages,Email
Outlook keeps crashing,Outlook closes unexpectedly during use,Email
Mailbox full,User cannot receive additional emails,Email
Spam filter issue,Legitimate emails are marked as spam,Email
Email attachment blocked,Unable to send attachment via email,Email
Shared mailbox inaccessible,Access to shared mailbox denied,Email
Calendar sync issue,Outlook calendar not syncing correctly,Email
Email delivery delayed,Messages take hours to arrive,Email
Distribution list not working,Emails sent to group are not delivered,Email
Mailbox synchronization failed,Emails not syncing across devices,Email
Outlook search not working,Unable to find emails using search,Email
Email signature missing,Configured signature disappeared,Email
Meeting invitations not received,Calendar invites do not arrive,Email
Auto reply not functioning,Out of office replies not sent,Email
Phishing warning on safe email,Internal email flagged as dangerous,Email
Cannot open encrypted email,User lacks key to decrypt message,Email
Archiving policy failing,Old emails not moving to online archive,Email
Deleted folder won't empty,Cannot permanently delete trash,Email
Sent items missing,Emails sent via mobile don't show on desktop,Email
Recall message failed,Attempt to unsend email was unsuccessful,Email
Resource mailbox conflict,Meeting room double booked,Email
Exchange server disconnected,Outlook shows working offline,Email
